Occupation code,Occupation title ,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
51-8010,"Power Plant Operators, Distributors, and Dispatchers",broad,"51,820",2.1%,0.358,$39.92,$39.31,"$81,760",0.5%
51-8011,Nuclear Power Reactor Operators,detail,"6,280",6.4%,0.043,$45.36,$45.82,"$95,310",1.1%
51-8012,Power Distributors and Dispatchers,detail,"11,620",3.7%,0.080,$41.54,$41.03,"$85,340",0.7%
51-8013,Power Plant Operators,detail,"33,920",2.6%,0.234,$38.27,$37.51,"$78,030",0.6%
51-8021,Stationary Engineers and Boiler Operators,detail,"31,710",2.0%,0.219,$29.06,$30.62,"$63,690",1.0%
51-8031,Water and Wastewater Treatment Plant and System Operators,detail,"123,650",1.0%,0.854,$22.49,$23.79,"$49,490",0.4%
51-8090,Miscellaneous Plant and System Operators,broad,"94,010",2.1%,0.650,$31.85,$31.94,"$66,430",0.6%
51-8091,Chemical Plant and System Operators,detail,"28,190",4.5%,0.195,$29.84,$29.60,"$61,570",1.2%
51-8092,Gas Plant Operators,detail,"14,620",3.8%,0.101,$34.17,$34.36,"$71,470",0.9%
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detail,"38,930",3.7%,0.269,$34.07,$33.96,"$70,630",1.1%
51-8099,"Plant and System Operators, All Other",detail,"12,270",3.6%,0.085,$27.45,$28.03,"$58,300",0.9%
51-9000,Other Production Occupations,minor,"2,537,090",0.6%,17.529,$16.35,$17.92,"$37,270",0.2%
51-9010,"Chemical Processing Machine Setters, Operators, and Tenders",broad,"132,660",1.8%,0.917,$21.97,$23.30,"$48,470",0.7%
51-9011,Chemical Equipment Operators and Tenders,detail,"82,880",2.4%,0.573,$23.45,$24.55,"$51,070",0.8%
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detail,"49,770",2.6%,0.344,$19.62,$21.22,"$44,140",0.9%
51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",broad,"190,770",1.6%,1.318,$17.25,$18.25,"$37,960",0.4%
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detail,"31,890",2.9%,0.220,$17.50,$18.30,"$38,060",0.7%
51-9022,"Grinding and Polishing Workers, Hand",detail,"30,280",3.5%,0.209,$14.21,$15.34,"$31,900",0.8%
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detail,"128,600",2.1%,0.889,$17.89,$18.92,"$39,360",0.5%
51-9030,Cutting Workers,broad,"71,420",2.0%,0.493,$16.26,$16.87,"$35,090",0.5%
51-9031,"Cutters and Trimmers, Hand",detail,"10,580",4.3%,0.073,$14.13,$15.19,"$31,600",1.3%
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detail,"60,840",2.2%,0.420,$16.64,$17.16,"$35,700",0.5%
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detail,"72,870",2.2%,0.503,$16.89,$17.69,"$36,800",0.6%
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detail,"17,730",3.4%,0.122,$18.83,$19.52,"$40,610",0.8%
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detail,"557,510",0.7%,3.852,$18.39,$20.20,"$42,010",0.4%
51-9071,Jewelers and Precious Stone and Metal Workers,detail,"25,910",4.0%,0.179,$18.96,$20.95,"$43,570",1.9%
51-9080,"Medical, Dental, and Ophthalmic Laboratory Technicians",broad,"77,110",2.2%,0.533,$17.64,$19.15,"$39,840",0.6%
51-9081,Dental Laboratory Technicians,detail,"34,480",3.4%,0.238,$19.44,$20.76,"$43,180",0.8%
51-9082,Medical Appliance Technicians,detail,"14,670",5.3%,0.101,$18.84,$20.28,"$42,180",1.3%
51-9083,Ophthalmic Laboratory Technicians,detail,"27,960",3.7%,0.193,$15.30,$16.58,"$34,490",1.1%
51-9111,Packaging and Filling Machine Operators and Tenders,detail,"395,330",1.5%,2.731,$14.50,$15.74,"$32,740",0.4%
51-9120,Painting Workers,broad,"156,470",1.5%,1.081,$17.70,$19.16,"$39,850",0.4%
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detail,"88,560",1.5%,0.612,$16.73,$17.55,"$36,510",0.5%
51-9122,"Painters, Transportation Equipment",detail,"55,710",3.3%,0.385,$20.33,$22.34,"$46,460",1.0%
51-9123,"Painting, Coating, and Decorating Workers",detail,"12,200",4.1%,0.084,$14.93,$16.33,"$33,960",1.1%
51-9141,Semiconductor Processors,detail,"25,730",8.4%,0.178,$17.92,$19.14,"$39,810",1.4%
51-9151,Photographic Process Workers and Processing Machine Operators,detail,"16,680",4.7%,0.115,$14.03,$16.78,"$34,910",2.1%
51-9190,Miscellaneous Production Workers,broad,"796,900",1.2%,5.506,$14.53,$16.02,"$33,320",0.4%
51-9191,Adhesive Bonding Machine Operators and Tenders,detail,"16,310",4.5%,0.113,$16.26,$17.23,"$35,850",1.6%
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detail,"17,630",4.1%,0.122,$14.80,$15.91,"$33,090",1.2%
51-9193,Cooling and Freezing Equipment Operators and Tenders,detail,"8,820",5.1%,0.061,$15.58,$16.60,"$34,520",1.1%
51-9194,Etchers and Engravers,detail,"8,600",6.3%,0.059,$15.06,$16.61,"$34,550",1.9%
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detail,"42,500",3.3%,0.294,$16.03,$16.92,"$35,190",0.7%
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detail,"97,960",2.1%,0.677,$18.62,$19.38,"$40,320",1.0%
51-9197,Tire Builders,detail,"23,920",8.1%,0.165,$22.42,$21.89,"$45,530",1.7%
51-9198,Helpers--Production Workers,detail,"350,410",2.1%,2.421,$13.33,$14.12,"$29,380",0.4%
51-9199,"Production Workers, All Other",detail,"230,760",2.3%,1.594,$14.50,$16.58,"$34,490",0.8%
53-0000,Transportation and Material Moving Occupations,major,"10,244,260",0.3%,70.780,$15.74,$18.41,"$38,290",0.4%
53-1000,Supervisors of Transportation and Material Moving Workers,minor,"419,980",0.6%,2.902,$26.67,$27.92,"$58,070",0.2%
53-1011,Aircraft Cargo Handling Supervisors,detail,"8,920",6.5%,0.062,$23.37,$26.49,"$55,110",2.8%
53-1048,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detail,"411,060",0.6%,2.840,$26.73,$27.95,"$58,140",0.2%
53-2000,Air Transportation Workers,minor,"271,890",2.1%,1.879,(4),(4),"$101,910",2.4%
53-2010,Aircraft Pilots and Flight Engineers,broad,"120,760",2.4%,0.834,(4),(4),"$146,660",3.8%
53-2011,"Airline Pilots, Copilots, and Flight Engineers",detail,"82,890",3.2%,0.573,(4),(4),"$169,560",3.9%
53-2012,Commercial Pilots,detail,"37,870",2.9%,0.262,(4),(4),"$96,530",3.2%
53-2020,Air Traffic Controllers and Airfield Operations Specialists,broad,"32,360",1.6%,0.224,$46.11,$48.61,"$101,100",1.4%
53-2021,Air Traffic Controllers,detail,"22,390",0.8%,0.155,$59.87,$58.09,"$120,830",0.8%
53-2022,Airfield Operations Specialists,detail,"9,960",4.9%,0.069,$25.10,$27.29,"$56,760",2.3%
53-2031,Flight Attendants,detail,"118,770",2.7%,0.821,(4),(4),"$56,630",1.9%
53-3000,Motor Vehicle Operators,minor,"4,088,870",0.4%,28.251,$17.85,$18.94,"$39,400",0.2%
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detail,"15,380",5.7%,0.106,$12.38,$13.95,"$29,010",1.9%
53-3020,Bus Drivers,broad,"678,260",1.0%,4.686,$16.56,$17.44,"$36,280",1.1%
53-3021,"Bus Drivers, Transit and Intercity",detail,"174,110",2.4%,1.203,$20.23,$21.47,"$44,650",1.9%
53-3022,"Bus Drivers, School or Special Client",detail,"504,150",1.1%,3.483,$15.58,$16.05,"$33,390",0.5%
53-3030,Driver/Sales Workers and Truck Drivers,broad,"3,130,500",0.4%,21.629,$18.66,$19.68,"$40,920",0.2%
53-3031,Driver/Sales Workers,detail,"414,860",1.8%,2.866,$11.88,$14.24,"$29,610",0.6%
53-3032,Heavy and Tractor-Trailer Truck Drivers,detail,"1,800,330",0.6%,12.439,$21.00,$21.91,"$45,570",0.2%
53-3033,Light Truck or Delivery Services Drivers,detail,"915,310",0.8%,6.324,$15.78,$17.75,"$36,920",0.3%
53-3041,Taxi Drivers and Chauffeurs,detail,"207,920",1.7%,1.437,$12.49,$13.68,"$28,450",0.8%
53-3099,"Motor Vehicle Operators, All Other",detail,"56,810",3.6%,0.393,$14.60,$17.14,"$35,640",1.7%
53-4000,Rail Transportation Workers,minor,"109,460",4.5%,0.756,$29.69,$30.95,"$64,380",1.0%
53-4010,Locomotive Engineers and Operators,broad,"41,090",6.1%,0.284,$29.41,$31.37,"$65,240",1.2%
53-4011,Locomotive Engineers,detail,"34,850",6.5%,0.241,$29.86,$32.17,"$66,920",1.3%
53-4012,Locomotive Firers,detail,560,15.1%,0.004,$30.69,$33.19,"$69,030",3.2%
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detail,"5,690",13.4%,0.039,$25.30,$26.27,"$54,640",2.1%
53-4021,"Railroad Brake, Signal, and Switch Operators",detail,"14,270",8.0%,0.099,$27.53,$28.31,"$58,890",2.1%
53-4031,Railroad Conductors and Yardmasters,detail,"42,360",5.1%,0.293,$30.26,$31.77,"$66,080",1.5%
53-4041,Subway and Streetcar Operators,detail,"8,850",4.5%,0.061,$32.78,$30.28,"$62,970",5.1%
53-4099,"Rail Transportation Workers, All Other",detail,"2,890",13.9%,0.020,$26.64,$28.12,"$58,490",5.1%
53-5000,Water Transportation Workers,minor,"79,860",7.0%,0.552,$26.16,$31.75,"$66,040",1.9%
53-5011,Sailors and Marine Oilers,detail,"32,220",6.8%,0.223,$19.66,$22.20,"$46,180",3.3%
53-5020,Ship and Boat Captains and Operators,broad,"38,910",6.5%,0.269,$32.40,$38.61,"$80,310",2.3%
53-5021,"Captains, Mates, and Pilots of Water Vessels",detail,"36,390",7.0%,0.251,$33.26,$39.61,"$82,380",2.4%
53-5022,Motorboat Operators,detail,"2,510",9.1%,0.017,$24.18,$24.21,"$50,350",4.7%
53-5031,Ship Engineers,detail,"8,740",12.4%,0.060,$34.20,$36.40,"$75,710",1.9%
53-6000,Other Transportation Workers,minor,"363,130",1.3%,2.509,$12.23,$15.61,"$32,460",1.1%
53-6011,Bridge and Lock Tenders,detail,"3,170",3.4%,0.022,$24.19,$22.91,"$47,660",0.9%
53-6021,Parking Lot Attendants,detail,"145,900",2.3%,1.008,$11.47,$12.08,"$25,130",0.5%
53-6031,Automotive and Watercraft Service Attendants,detail,"113,760",2.1%,0.786,$11.64,$12.47,"$25,940",0.5%
53-6041,Traffic Technicians,detail,"7,290",3.3%,0.050,$22.39,$24.38,"$50,700",1.6%
53-6051,Transportation Inspectors,detail,"29,990",3.2%,0.207,$35.47,$36.22,"$75,330",1.6%
53-6061,"Transportation Attendants, Except Flight Attendants",detail,"25,460",8.2%,0.176,$12.87,$14.73,"$30,640",2.2%
53-6099,"Transportation Workers, All Other",detail,"37,560",3.2%,0.259,$18.03,$20.61,"$42,870",2.9%
53-7000,Material Moving Workers,minor,"4,911,060",0.5%,33.932,$13.74,$15.17,"$31,560",0.2%
53-7011,Conveyor Operators and Tenders,detail,"23,390",3.5%,0.162,$15.86,$16.88,"$35,110",0.8%
53-7021,Crane and Tower Operators,detail,"44,410",2.8%,0.307,$26.03,$27.96,"$58,160",1.4%
53-7030,"Dredge, Excavating, and Loading Machine Operators",broad,"49,780",2.3%,0.344,$21.44,$23.46,"$48,790",0.8%
53-7031,Dredge Operators,detail,"1,190",17.2%,0.008,$21.76,$22.84,"$47,500",2.4%
53-7032,Excavating and Loading Machine and Dragline Operators,detail,"46,090",2.4%,0.318,$21.28,$23.40,"$48,680",0.9%
53-7033,"Loading Machine Operators, Underground Mining",detail,"2,500",11.4%,0.017,$24.60,$24.73,"$51,450",2.7%
53-7041,Hoist and Winch Operators,detail,"3,180",8.7%,0.022,$21.87,$27.11,"$56,390",6.4%
53-7051,Industrial Truck and Tractor Operators,detail,"604,130",1.1%,4.174,$16.71,$17.54,"$36,480",0.3%
53-7060,"Laborers and Material Movers, Hand",broad,"4,002,390",0.6%,27.654,$13.02,$14.32,"$29,790",0.2%
53-7061,Cleaners of Vehicles and Equipment,detail,"378,850",1.1%,2.618,$11.79,$12.93,"$26,900",0.5%
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detail,"2,893,180",0.7%,19.990,$13.59,$14.85,"$30,890",0.2%
53-7063,Machine Feeders and Offbearers,detail,"66,380",3.0%,0.459,$14.21,$15.24,"$31,710",0.7%
53-7064,"Packers and Packagers, Hand",detail,"663,970",2.0%,4.588,$11.82,$12.74,"$26,490",0.4%
53-7070,Pumping Station Operators,broad,"27,560",5.0%,0.190,$24.47,$25.24,"$52,510",1.2%
53-7071,Gas Compressor and Gas Pumping Station Operators,detail,"3,460",7.2%,0.024,$31.35,$30.24,"$62,900",1.4%
53-7072,"Pump Operators, Except Wellhead Pumpers",detail,"10,820",10.3%,0.075,$21.34,$22.84,"$47,510",1.5%
53-7073,Wellhead Pumpers,detail,"13,280",6.0%,0.092,$25.72,$25.90,"$53,870",1.9%
53-7081,Refuse and Recyclable Material Collectors,detail,"118,520",1.6%,0.819,$17.92,$19.50,"$40,560",1.1%
53-7111,Mine Shuttle Car Operators,detail,"1,690",6.8%,0.012,$27.09,$26.99,"$56,150",1.8%
53-7121,"Tank Car, Truck, and Ship Loaders",detail,"9,000",7.9%,0.062,$18.38,$20.35,"$42,330",2.5%
53-7199,"Material Moving Workers, All Other",detail,"27,010",4.5%,0.187,$14.14,$16.83,"$35,000",1.6%
